tid,survivors,spans,dropped,feasible,recon_ns
030ddab5988ba5ff,9873,13049,3176,1,522844458
0379edc45b24a6f4,4593,6044,1451,1,492726863
015a71b62d1247f4,3993,5344,1351,1,1572137624
045f58011b7e9ea6,160,221,61,1,8933994
044618d7c2a1e14d,63,95,32,1,16643262
04350ab66059e2c1,447,635,188,1,20174705
0462e9ae05a84991,208,216,8,1,3903530
043dab38306c26fc,659,852,193,1,21475534
04723b3bad51d9b9,90,118,28,1,3901257
045fe68ace34d83c,623,850,227,1,27189061
044e4c0a7cb1ea73,928,1166,238,1,50636370
043e9d0c12960b1c,1238,1606,368,1,53423370
049d5cae034f2026,33,48,15,1,734604
0489e9bfd688b5d7,356,421,65,1,5332036
0479cd5be053cd0a,821,1080,259,1,39566886
044228b51fc296b3,1207,1519,312,1,63195638
0480442f08adbaa2,764,985,221,1,35263717
046727066056a4fc,1006,1325,319,1,50237568
04bc9fd1f79461f0,2,3,1,1,65147
04b627edaa57c8f8,203,214,11,1,6517908
04acc29421891bd4,494,626,132,1,13589736
04c1022129245ab1,42,52,10,1,1191506
04c8345be8eaa561,305,366,61,1,7779980
04a2d1acd6e84f28,879,1109,230,1,25527140
04b376edc39009be,781,1004,223,1,19096520
04dbded9af51d01b,90,129,39,1,1604535
04b60d4db9b4f3db,627,803,176,1,18556963
04dea4563b19104f,120,152,32,1,2891504
0482000c48444785,1439,1834,395,1,49421933
04c631698e9cbaf2,892,1137,245,1,19184606
04e9886b9c3ebcdb,435,510,75,1,7921772
04ff6fcdd6bd4e2e,213,228,15,1,2629865
0504bf6eb78145e1,26,31,5,1,402321
04e69ba71eb0e3fc,639,823,184,1,16337737
05050897079ac83c,411,605,194,1,11405428
046090784180764c,715,907,192,1,104119898
04d6292af5a5aaee,1299,1687,388,1,43673757
0513a0c867147786,90,120,30,1,3555769
04ee1c755d1e0d62,845,1142,297,1,35076685
04d9deec9ebddefa,1034,1348,314,1,44282786
0505e6792deb4a51,940,1204,264,1,23977569
054f17f5dfe8c4fc,201,209,8,1,1871365
04f081fafe977046,1342,1715,373,1,39370631
053090d84040d697,309,437,128,1,9391016
0535133088700e35,495,693,198,1,8000637
051060d48b10a006,754,968,214,1,20782060
0565f5c53ba2024b,253,289,36,1,2137887
0553fcfc9700b5e3,479,609,130,1,7782768
0578b3cba3b04c9b,45,57,12,1,564889
0580b9dc88e99ba7,95,131,36,1,1942337
0587937a747af9c6,6,9,3,1,141923
04dd66bf0cf6efe9,1502,1977,475,1,69658911
056070d83e494a67,758,987,229,1,21689661
056bf8a1fbab988e,804,1064,260,1,20504667
058e6a85c84d39ee,197,206,9,1,1206904
0557d9d3a1fc2441,958,1209,251,1,32577255
058ae5eec165d98b,333,371,38,1,5995665
05b1428593c0c001,182,187,5,1,1014064
05a74d890cc669d4,108,149,41,1,2352636
0587466a3667668b,834,1161,327,1,24840766
05b44bc71ed68997,99,134,35,1,2944603
05b3297b89b82bd1,255,284,29,1,4757123
05c588a433f92404,83,131,48,1,1825074
056d04a67145a78a,1399,1939,540,1,40098330
05bacd4233f30140,757,956,199,1,13336399
05b69632d113ba94,785,1047,262,1,28541557
05de053a309a051b,796,1042,246,1,21818496
058977d52ab0b941,1294,1706,412,1,49977505
05ec69f91a15d361,518,649,131,1,9453099
05d77c9b5b59ab31,1173,1569,396,1,36997836
05f54bb2189d7f76,288,327,39,1,4380986
06058c6b4d26c337,85,107,22,1,1876448
0557b75a7740e1b3,2199,2891,692,1,80174526
0615d4f752e61cab,95,132,37,1,3594961
05008ed4de73f058,3334,4480,1146,1,106880936
0608a3732632ad0c,262,366,104,1,11088907
061dd5b34a8e31d5,107,146,39,1,3017729
0621e3f743dacb1b,5,7,2,1,158867
042edeeecd37c036,3743,5184,1441,1,225188044
05dd0072ab03f9c3,1428,1794,366,1,53011111
061b699a5803378e,814,1070,256,1,23398210
05f983d5dbc5977b,771,983,212,1,43940253
061f9733b0c74fff,1041,1420,379,1,23284845
06251c88be1da965,885,1172,287,1,21761236
0601562efbc4c86e,844,1116,272,1,46571951
062aac4df142dac9,792,1002,210,1,24193703
05f4f9da824d436a,1425,1873,448,1,79918894
063a9286d139ee53,1061,1392,331,1,31172694
06452b3f301d3c76,1197,1727,530,1,32722809
065a35aea4793509,256,280,24,1,6049953
065aae01d3b5f50f,265,281,16,1,3667507
0640565ee9de6b05,677,964,287,1,38735680
066ef074c721cabd,222,242,20,1,5713919
064d93eed6ea0711,777,1048,271,1,33325595
0663e2c40b37b4be,274,333,59,1,8367925
064b0d93ac295e8e,1056,1388,332,1,34143974
0680ea53ba287dad,311,367,56,1,3806918
063660692d298a87,1517,2191,674,1,57098252
0682c59941bb4cc2,100,134,34,1,2311223
0687171e6f150a5a,385,467,82,1,8472987
069c2d0e3408cf06,3,7,4,1,123656
069d60e3f0d84aab,180,218,38,1,3500514
067941fca8df28ce,919,1204,285,1,22041295
06a2457727b864cc,2,3,1,1,77536
06af2214ac8031d3,100,141,41,1,3297661
06913a8836dbd0c7,594,756,162,1,18761113
06af6b65779461ea,885,1236,351,1,16461208
067314498d229618,852,1086,234,1,45732806
06b885f1ba0742e0,96,129,33,1,2805421
068904d57fbdee97,471,541,70,1,42486928
0672b8268659f5c2,1157,1671,514,1,54277966
06c403e49d6a8690,191,197,6,1,3393507
06c23ca0b1ba5f74,437,590,153,1,13283895
06c672e850d19b61,946,1196,250,1,18376761
063088cfad1fc27b,821,1092,271,1,159420543
06bc7f9bc6dff178,1415,1773,358,1,52441398
06d3745d74a257ea,134,187,53,1,2596498
06d6d0ec4b1619d2,140,186,46,1,8194653
06e4485bc9098fa7,260,280,20,1,2648558
06e60d69b597b4c7,315,392,77,1,9103689
065fdeafa3e11c18,551,814,263,1,128124605
06cdef8a2c8755b2,1143,1464,321,1,47547595
06d5f6b420247cef,1099,1432,333,1,30127119
06b409fc5ed37459,2479,3313,834,1,103669550
06cc31bc7efadb4f,1773,2350,577,1,99061728
06a5d46c9795ba43,3616,4960,1344,1,136099777
06e24cefa69e2868,4751,5660,909,1,136948125
0700f89c6c393b72,298,346,48,1,2455141
070275ad2bc8e8dd,270,300,30,1,4123072
070e850744bafc0d,323,395,72,1,2959565
0707c3c410d3248f,267,305,38,1,3991229
07110129a9dd8914,353,471,118,1,4444330
071d0967ec7c42bd,503,614,111,1,8081523
07228b07a81421fc,83,119,36,1,3808388
06ff692f88daab3e,1092,1421,329,1,22725481
0729a0742205dcd2,60,90,30,1,1259691
072b960bf4a1695a,222,316,94,1,6929138
06ecb5cfcc72705d,1209,1538,329,1,32585407
073ae951e50d4683,114,153,39,1,2534291
06f323275ad09e1a,1146,1538,392,1,38360472
071d1c8e1b39447c,1300,1651,351,1,32719783
072566100b7876cf,968,1270,302,1,21950576
074a298354df2282,200,211,11,1,2020285
073a7333e8322d87,807,1031,224,1,23476071
0751038591078925,251,286,35,1,5112840
07234dad01719ded,1495,1966,471,1,73148999
0754734bf1bb92e0,455,516,61,1,17934243
0756785feda5d08b,43,53,10,1,1034526
0759a52356bf47d1,269,294,25,1,2783647
0764cc281b3804a7,86,113,27,1,2254410
076684ed03918d80,91,120,29,1,1762273
076b5bbaf7fb3135,5,6,1,1,35933
076d4ecb544785d0,183,187,4,1,812752
074686afb31ec11c,1029,1371,342,1,51959859
074ddee38538aeec,802,1029,227,1,49551970
0777d10eb19b4ad1,108,167,59,1,1621825
078014e786d4de00,31,40,9,1,452250
0788d5abb06c446c,70,106,36,1,1708079
0795f585e95235b1,204,208,4,1,1492973
078ed3d8c709b292,756,977,221,1,15047381
079d4b1b6cf3c1f3,602,739,137,1,14164712
07b08ef53a50e99d,27,48,21,1,960444
07be8dc784bbe71b,40,53,13,1,1839657
0769e51998103ed5,911,1212,301,1,24906345
07c5b4f959b114c8,7,9,2,1,224277
07c795a3fe06aaac,121,152,31,1,4075535
077b8657bf06fde4,929,1235,306,1,26624691
07d752f71c7abf18,188,195,7,1,7572835
07df464b708d487d,325,390,65,1,6961832
07a96fbf73de6c42,856,1130,274,1,25947350
07e20b5eb2413149,424,582,158,1,7532902
07d0f41d1ce2ebe2,982,1278,296,1,25147799
072df85b46f5163b,1902,2485,583,1,117719864
07f0c84669f40362,348,424,76,1,6244462
07f8ffb7775e90ea,104,130,26,1,3638337
07c76d2aaf3daf79,1314,1700,386,1,47619773
0815b0f652851e90,160,184,24,1,6353040
080a03a90463b209,941,1221,280,1,25098027
08216bad1ef4993b,192,199,7,1,1853342
08154c752e0c63f5,793,1021,228,1,19882602
07e8a4fa883b4586,1769,2328,559,1,51042389
082fa80c48fdcf94,5,6,1,1,57757
082ef324f5e0fc51,4,7,3,1,54278
082bed7015ff44cc,208,223,15,1,2594409
083f494c3ad18673,29,40,11,1,302512
0823480feb6b8539,573,777,204,1,9589477
082004a58a1d60d5,654,822,168,1,20468608
0832bb4d505eadaa,685,842,157,1,27107781
085537555b18b35b,37,49,12,1,902666
08482c19b1f01499,496,593,97,1,10674889
07ebea1f67e859b2,2858,3626,768,1,77280865
085a1f4dbe3cf424,302,360,58,1,5043467
0866fdf7991ca883,114,128,14,1,3948309
084fda6cf111978b,887,1269,382,1,35449628
086cb25333e04dca,359,435,76,1,5822885
085ced019b5599e7,1365,1863,498,1,60912720
0870fb42337797b0,1224,1568,344,1,37944794
087eda6cf53df686,749,927,178,1,18649489
08702d1be3e512bd,1616,2158,542,1,43205214
088476a2575ac498,1135,1391,256,1,18005778
069c2af1d84b3f92,2485,3413,928,1,618537277
074578cb9e648b41,3154,4433,1279,1,302760472
08afb81b2f96f5ae,265,288,23,1,2398302
08ad13bd9db45daa,85,115,30,1,1784055
08a0df57688b7ea2,811,1025,214,1,11784860
08a34bb3d095c52a,569,804,235,1,13528655
08bb5dea66bed96e,43,51,8,1,517415
08bea0ac9117885a,193,208,15,1,1279610
08bd8c71aac13aaa,518,646,128,1,14839645
08b0ad28d1d0f2bf,791,1021,230,1,31268991
08c6f72981cd831b,33,42,9,1,372159
08bebded8820827a,261,290,29,1,9646470
08cf16d1c82dae83,92,119,27,1,1177686
08cb2f11c537a2ac,272,293,21,1,5969441
08a76296ffb2d972,1397,1810,413,1,62019174
08d62918dfdc32e5,247,360,113,1,4475736
08d93e68e862bfb4,499,597,98,1,11019587
08c7283ceaf22b16,905,1158,253,1,25991783
08cf540e62d8f2cd,936,1242,306,1,21630456
08dd0be11fcfed3d,581,735,154,1,12735177
08efbb000c830d8c,307,338,31,1,3721653
08fa9c01a286887b,16,24,8,1,257542
08e8a1272c44c003,726,918,192,1,14857681
08dd64f9a5bd4af1,1462,1855,393,1,28830265
090d081327b973bf,120,153,33,1,2602621
087907c00d8af695,3044,3890,846,1,205208242
0909cbcc0f4f387d,233,279,46,1,6286175
08f66267d85ba6c6,981,1266,285,1,35963529
08f32d67bfa6a9fc,913,1201,288,1,41350783
091175ef12f12a37,290,320,30,1,5603243
0903c5a294a3a920,1142,1449,307,1,25391621
091bdeadf9913830,417,517,100,1,11048535
