tid,survivors,spans,dropped,feasible,recon_ns
5f7bcd57431f160f,84,115,31,1,3736811
5f8b825f1d5696bd,493,663,170,1,10945637
5fca75e152a9e241,101,136,35,1,5440520
5fb55f5773ec2c9a,1115,1602,487,1,38987248
5f895713aef992d7,1448,1983,535,1,122730843
607d0cc1ecf00f1a,1634,2213,579,1,55905962
6131211ce927cf10,290,328,38,1,4131945
61469ef526baa5d5,298,372,74,1,6165898
615a85dcbacb92b4,1432,2063,631,1,45506128
61945c2c8efc1304,626,790,164,1,15638718
61fef2f9c7641043,27,35,8,1,623786
623172f1c073c3f3,94,127,33,1,2219516
6279dcc1c2787c51,262,302,40,1,6553873
627af1da2149ed06,694,842,148,1,15994662
62942dcf15002156,94,120,26,1,2261637
630f45ebdfbf3c95,960,1225,265,1,23631981
6327611e6575e6a8,307,364,57,1,6803574
6342eef7eec56c0f,40,49,9,1,1470779
632d4158a807eb32,711,902,191,1,20883512
637797d86c1cdc3c,250,281,31,1,4696438
639b341f75e6d7d1,280,378,98,1,7123471
63b454147fb423d9,95,132,37,1,1388434
63c509eba443b54a,675,891,216,1,18611351
6454d8cdae706743,61,79,18,1,2043726
640adf8ca4d1a48d,3431,4723,1292,1,147288440
64ec5db476a5c465,589,802,213,1,16956613
650689a98599b05b,145,201,56,1,4981063
6510d9ca3c654e7a,268,304,36,1,3571475
6499781fa80a0356,4176,5435,1259,1,148728067
65978b51f9738f08,1141,1408,267,1,32371506
65d10329584664fc,947,1376,429,1,29091245
6648d7ec70d448fc,65,100,35,1,1776879
6657e100d933fb37,217,303,86,1,7201821
66ba6e7884e1b334,152,167,15,1,2154040
66d6ef64cdb2f0c6,763,1002,239,1,24838071
662375b62c3f0a8f,4937,6535,1598,1,186302969
67115f16840db978,869,1150,281,1,27855960
674a5e01d5599f3c,136,200,64,1,3835839
67e55ec4445f6f89,812,1132,320,1,24446102
6833966b97375980,295,348,53,1,8845475
684004ec9d9ea839,42,51,9,1,1438905
684e07c2e6708a05,7,8,1,1,196506
6876e9795730dacd,475,679,204,1,16614369
6937c1e374c18a5e,239,261,22,1,4485435
69a277aaee416b4e,259,283,24,1,4015984
69a9d7d32e027319,222,272,50,1,6367044
6a3c1af65ca61ed8,332,393,61,1,6093759
6a716867a07680d9,91,107,16,1,1450953
6aea839c2013355d,261,323,62,1,6955879
6b1c850946ddb011,258,277,19,1,3111187
6c0828fa035629db,94,131,37,1,2203313
6c847007e959ba8e,267,293,26,1,3742632
6cdab0c7ec4b95e4,17,23,6,1,452515
6d466a510b545791,121,170,49,1,4385316
6d4c7d4e699a89a6,357,439,82,1,9761311
6dbb5524244d8b1e,193,201,8,1,2161993
6daddf5229b7c4f9,2025,2619,594,1,61285271
6e52f31a45598f59,319,381,62,1,7810982
6e7f75d22cd56ed6,902,1181,279,1,23023579
6e6e24f87fc05bf3,2353,3048,695,1,69505698
6fc51fd7e71878ae,226,279,53,1,6198657
6fce3b45663c8e12,293,351,58,1,4856109
6fe2adf37824b36f,95,135,40,1,2269050
7047db858c725dd1,666,822,156,1,15457338
70608d751b1a8470,213,228,15,1,2494804
70a99eedda9e290d,89,120,31,1,2011152
709e69b3630ffdd5,663,932,269,1,19744142
70d9dbd0615f6eba,194,199,5,1,3260379
70ea02a9309877ee,174,223,49,1,4479030
713a8daf2a476654,372,532,160,1,9626529
71ad9023bdce7b07,268,317,49,1,4542547
71da0ab782555d98,274,302,28,1,7154155
72097748c5401e54,133,179,46,1,3116119
71b43259d344fbe4,879,1324,445,1,67849229
7241b02feb02c281,185,189,4,1,1720501
732d647816c20862,183,208,25,1,2374932
718453eeca67c99b,7634,10043,2409,1,498684892
73bed34fb5a01b31,91,116,25,1,2206604
73dcda126b78b910,44,51,7,1,925657
73f3cd8c69e24a04,29,39,10,1,1522105
7501a04dac89e895,196,202,6,1,3450809
74855e6cbfd5c41a,3355,4637,1282,1,120518595
752830861278d7ca,584,717,133,1,11611638
7549a6d5e7be8753,251,286,35,1,3558496
758149d8bf10c85b,101,124,23,1,2823222
755b6d642223825c,1171,1464,293,1,37750148
75850977e316fdaa,200,206,6,1,2067694
75bf1282458ee54e,85,127,42,1,2354828
76b4a4380875a7dd,89,117,28,1,2997693
76c965256288beae,257,295,38,1,4034615
76db21c5570b309d,430,603,173,1,9552194
771837215936631f,4,7,3,1,273729
77acd2c9af6fb771,246,277,31,1,3211640
77e17f02fa3520bb,1432,1847,415,1,41692798
7848e6a8aac7a34d,4,6,2,1,286804
787ec8720be0992d,220,237,17,1,2936112
78b303b5395fa30b,15,20,5,1,420552
78d3dffc6ffb78fa,1147,1535,388,1,29745452
794b47ecf0224d87,348,488,140,1,10555314
79609330589624ec,675,843,168,1,18191988
798aa290f6433b9d,642,835,193,1,16807578
79dfe3d2aa2b1309,421,581,160,1,10192452
